FE,EngDispl,NumCyl,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,B0,B1
27.2408,5.9,12,6,1,0,2,2,0,0,50.56322991,-4.520929279
22.9258,5.9,12,6,1,0,2,2,0,0,50.56322991,-4.520929279
24.6983,5.9,12,6,1,0,2,2,0,0,50.56322991,-4.520929279
26.1157,4.3,8,7,0,0,2,2,1,0,50.56322991,-4.520929279
32.8808,5,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
30.3378,5,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
30.8027,5,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
31.6,4.3,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.5,3.5,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
51.6555,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
47.2025,1.6,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
52,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
47.2025,1.6,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
44.5714,1.6,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
47.7592,1.6,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
44.5714,1.6,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
47.7592,1.6,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
46.5047,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
46.5047,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.2628,2.4,4,4,1,0,2,2,0,1,50.56322991,-4.520929279
33.2,3.8,6,5,1,0,2,2,0,1,50.56322991,-4.520929279
35.2427,3.6,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.6908,3.6,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.8754,3.6,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.7563,3.6,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.8754,3.6,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.4395,3.6,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.8754,3.6,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.4395,3.6,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.5148,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.013,3.8,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.5148,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.0769,3.8,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
34.5148,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.0769,3.8,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
35.2427,3.6,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.6908,3.6,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
35.3594,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.9347,3.8,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
36.9347,3.8,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
35.3594,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
33.8482,3.8,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
33.1649,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
34.255,3.8,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
33.2357,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
33.8482,3.8,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
34.255,3.8,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
39.7267,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
26.6208,5.9,12,6,1,0,2,2,0,0,50.56322991,-4.520929279
42.7743,2,4,1,0,0,2,2,1,1,50.56322991,-4.520929279
37,2,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
37.7989,2,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
42.575,2,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
36.2,3.2,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
31,4.2,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
29.3,4.2,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
34,3,6,7,0,0,2,2,1,0,50.56322991,-4.520929279
39.7256,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
23.2715,6,12,6,1,0,2,2,1,0,50.56322991,-4.520929279
38.1696,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
38.7896,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
39.7103,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
38.7896,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
35.5,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.2678,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
36.1548,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.7081,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.7103,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
38.7896,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
38.1696,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
36.798,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
35.5404,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
35.4606,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
36.1548,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.7081,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
36.1548,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.7081,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
34.7288,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
34.2853,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
30.5375,4.8,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
31.3747,4.8,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
28.8,4.8,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
31.8,4.8,8,6,1,0,2,2,1,1,50.56322991,-4.520929279
27.3704,4,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
27.3,4,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
28.4,4,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
27.9711,4,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
23.227,5,10,6,1,0,2,2,1,0,50.56322991,-4.520929279
23.6182,5,10,7,1,0,2,2,1,0,50.56322991,-4.520929279
23.7,5,10,6,1,0,2,2,1,0,50.56322991,-4.520929279
24.0505,5,10,7,1,0,2,2,1,0,50.56322991,-4.520929279
47.9,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
48.9,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
46.8,2.2,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
41.9,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
32.7568,4,6,5,1,1,1,1,0,0,50.56322991,-4.520929279
36.3926,4,6,5,0,0,1,1,0,0,50.56322991,-4.520929279
32.1109,4.6,8,5,1,1,2,1,1,0,50.56322991,-4.520929279
33.8,4.6,8,5,0,1,2,1,1,0,50.56322991,-4.520929279
30.4,5.4,8,6,0,0,2,2,0,0,50.56322991,-4.520929279
50.5,1.8,4,5,1,0,2,2,1,1,50.56322991,-4.520929279
48.6,1.8,4,5,0,0,2,2,1,1,50.56322991,-4.520929279
51.1915,1.8,4,5,1,0,2,2,1,1,50.56322991,-4.520929279
40.5,2,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
41.7998,2,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
42,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
38.0484,3.8,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
36.4,3.8,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
32.9748,3.7,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
35.2288,3.7,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
34.7305,3.7,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.065,3.7,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
35.162,3.7,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
36.2901,2.5,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
36.7047,2.5,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
40.8247,2.5,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
36.5564,3.5,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
32.0888,5,8,8,1,0,2,2,1,0,50.56322991,-4.520929279
26.8817,4.2,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
26.7022,4.7,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
26.5604,4.7,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
30.2,1.3,2,6,0,0,0,0,0,0,50.56322991,-4.520929279
32.1,1.3,2,6,1,0,0,0,0,0,50.56322991,-4.520929279
36.0876,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
31.7,5.5,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
51.6555,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
47.2025,1.6,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
44.5714,1.6,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
47.7592,1.6,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
46.5047,1.6,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
38.5995,2.4,4,5,0,0,2,2,0,1,50.56322991,-4.520929279
37.4902,2.4,4,4,1,0,2,2,0,1,50.56322991,-4.520929279
34.6,3.8,6,6,0,0,2,2,0,1,50.56322991,-4.520929279
33.2,3.8,6,5,1,0,2,2,0,1,50.56322991,-4.520929279
44.7365,2.5,4,1,1,0,2,2,1,0,50.56322991,-4.520929279
43.8,2.5,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
37.9628,3.5,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
38.0169,3.5,6,1,1,0,2,2,1,0,50.56322991,-4.520929279
29.0307,3.8,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
46.8,2.2,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
46.8,2.2,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
29.14,4.6,8,5,1,0,2,1,1,0,50.56322991,-4.520929279
31.61,4.6,8,5,0,0,2,1,1,0,50.56322991,-4.520929279
41.2,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
37.5,2,4,5,1,0,2,2,0,0,50.56322991,-4.520929279
48.9,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
42.1,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
40.2,2.4,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
38.2,2.4,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
47.2,1.8,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
46.9,1.8,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
48.8622,1.5,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
50.6725,1.5,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
41.521,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.3156,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
40.8,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.3753,2.5,5,5,0,0,2,2,1,0,50.56322991,-4.520929279
38.4,2.5,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
38.6,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.3,2.4,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
42.3,2.4,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
37.6,3.5,6,5,1,0,2,2,1,1,50.56322991,-4.520929279
42.7743,2,4,1,0,0,2,2,1,1,50.56322991,-4.520929279
37.7989,2,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
42.575,2,4,6,1,0,2,2,1,1,50.56322991,-4.520929279
34.1,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
35,3,6,7,0,0,2,2,1,0,50.56322991,-4.520929279
21.006,6.8,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
21.006,6.8,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
23.8,6,12,6,1,0,2,2,1,0,50.56322991,-4.520929279
39.7103,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
38.7896,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
35.5404,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
35.4606,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
51.1,3,6,6,1,0,2,2,0,0,50.56322991,-4.520929279
36.1548,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
35.7081,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
34.7288,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
34.2853,3,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
28.4,4,8,6,0,0,2,2,1,0,50.56322991,-4.520929279
27.9711,4,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
47.9,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
48.9,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.4,3.6,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
40,3.6,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
33.8,6.2,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
35.2,6.2,8,6,1,0,1,1,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
46.8,2.2,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
51.9,2.2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.1,2.4,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
36.5,2.7,6,4,1,0,2,2,0,0,50.56322991,-4.520929279
37.6,3.5,6,6,1,0,2,2,0,0,50.56322991,-4.520929279
34.7,3.5,6,5,1,0,2,2,0,0,50.56322991,-4.520929279
34.5,5.7,8,5,1,0,1,1,1,0,50.56322991,-4.520929279
33.6,5.7,8,6,0,0,1,1,1,0,50.56322991,-4.520929279
30.1,6.1,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
26,6.1,8,5,1,0,1,1,0,0,50.56322991,-4.520929279
47.3278,2,4,4,1,0,2,2,0,0,50.56322991,-4.520929279
49.3,2,4,5,0,0,2,2,0,0,50.56322991,-4.520929279
43.5,2.4,4,5,0,0,2,2,1,1,50.56322991,-4.520929279
43.3,2.4,4,5,1,0,2,2,1,1,50.56322991,-4.520929279
35.5,3.5,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
39.9,3.5,6,5,1,0,2,2,1,1,50.56322991,-4.520929279
65,1.3,4,1,1,0,1,1,1,1,50.56322991,-4.520929279
62.2674,1.3,4,1,1,0,1,1,1,1,50.56322991,-4.520929279
61.2,1.3,4,1,1,0,1,1,1,1,50.56322991,-4.520929279
50.4,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
48.2,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
50.8205,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
47.2964,2,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
50.9,2,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
47.4,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
44.344,2.4,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
44.6,2.4,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
50.2669,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
48.3188,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
35.3494,3.5,6,1,0,0,2,2,1,0,50.56322991,-4.520929279
47.4081,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
46.624,2,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
46.4387,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.1876,2.5,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
40.8873,2.5,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
35.8,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
35.7311,3,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
35.9,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
34.9,3,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
33.9,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
34.6,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
26.6722,6.3,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
29.2,5.5,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
23.9,5.5,12,5,1,0,2,1,1,0,50.56322991,-4.520929279
24.7,6.3,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
23.4,6,12,5,1,0,2,1,1,0,50.56322991,-4.520929279
29,5.5,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
24.8202,6.3,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
42.9363,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
42.4579,2,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
34.9,2,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
38.8769,2.4,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.3706,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
30.6,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
31.1,2,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
47.9,1.6,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
48.9,1.6,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
42.8,2.4,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
46.9,2.4,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
42.6,2.4,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
46.8,2.4,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
40.3,3.5,6,4,1,0,1,1,1,0,50.56322991,-4.520929279
41.2,3.5,6,4,1,0,1,1,1,0,50.56322991,-4.520929279
35.6,3.6,6,6,1,0,2,2,1,0,50.56322991,-4.520929279
31,3.6,6,4,1,0,2,2,1,0,50.56322991,-4.520929279
24.2,6.7,12,6,1,0,2,2,1,0,50.56322991,-4.520929279
24.2,6.7,12,6,1,0,2,2,1,0,50.56322991,-4.520929279
37.1,2,4,5,1,0,2,2,0,0,50.56322991,-4.520929279
41.1132,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
38.4627,2,4,6,1,0,2,2,0,0,50.56322991,-4.520929279
43.1,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
38.4997,2,4,5,1,0,2,2,0,0,50.56322991,-4.520929279
37.071,2.5,4,5,0,0,2,2,0,1,50.56322991,-4.520929279
35.9226,2.5,4,4,1,0,2,2,0,1,50.56322991,-4.520929279
34.1435,2.5,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
32.9103,2.5,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
42.3947,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
41.3959,2.4,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
40.8321,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
44.0818,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
43.0035,2.4,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.5858,2.4,4,1,0,0,2,2,1,0,50.56322991,-4.520929279
46.3629,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
45.1901,2,4,1,1,0,2,2,1,0,50.56322991,-4.520929279
44.708,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.5661,2,4,1,1,0,2,2,1,0,50.56322991,-4.520929279
48.4,1.8,4,4,1,0,2,2,1,0,50.56322991,-4.520929279
50,1.8,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
42.2,2.4,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
42.6,2.4,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
42,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.521,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
35.1,3.6,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
33.5,3.6,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
60.1,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
58.535,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
39.6147,2.5,5,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.2409,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
43.5414,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.521,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
43.5414,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
41.521,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
60.1,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
58.535,2,4,6,0,0,2,2,0,0,50.56322991,-4.520929279
39.5714,2.5,5,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.0169,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.348,2.4,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
39.3,2.4,5,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.6,2.5,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
40.4,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
37.8,2.5,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
37.8,2.5,5,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.348,2.4,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
39.3,2.4,5,5,0,0,2,2,1,0,50.56322991,-4.520929279
40.6,2.5,5,5,1,0,2,2,1,0,50.56322991,-4.520929279
